property,roost,crabnet,hotcrab,elemnet,rf,mean_test,std_test,n_test,mean_train,std_train,n_train,n_val,n_total,prop_train,prop_val,prop_test
elasticity_log10(G_VRH),0.09965633927811225,0.09207783109582572,0.09658466409656484,0.1245170161137133,0.09982020960286157,1.5465130808246708,0.3616021003739463,1832.0,1.554630475635871,0.36580194084115536,7138.0,747.0,9717.0,0.7345888648759905,0.0768755788823711,0.18853555624163837
elasticity_log10(K_VRH),0.07339534988087437,0.06776636109545553,0.07153311675706371,0.09040038319570129,0.07771992332303648,1.875469152225938,0.3678684772103283,1832.0,1.8846063644725277,0.36303906475460823,7154.0,731.0,9717.0,0.736235463620459,0.07522898013790265,0.18853555624163837
expt_gap,0.37282342075164304,0.33806111365896924,0.35236996001029147,0.439235759175606,0.4468028006088279,0.9137065227669866,1.3964617451142673,920.0,0.9913909263787014,1.4569825204161104,3313.0,368.0,4601.0,0.7200608563355793,0.07998261247554879,0.199956531188872
expt_is_metal,0.09808737487449945,0.08602517996078883,0.08926651206536171,0.12101456969610751,0.14645278795278796,0.48577235772357724,0.5000516890964266,984.0,0.5016526824307145,0.5000608451188787,3542.0,391.0,4917.0,0.7203579418344519,0.07952003254016676,0.20012202562538134
glass,0.1332370744770319,0.14497229564032366,0.1387672756684509,0.16219130302737894,0.16744246696035242,0.6977973568281939,0.459415023138198,1135.0,0.7136883802816901,0.452086556559384,4090.0,454.0,5679.0,0.7201972178200388,0.0799436520514175,0.19985913012854375
jdft2d,52.87869732008168,50.512459840166095,54.81143571721678,61.71399800748806,55.10521303033524,113.97202804408123,176.62217354407767,97.0,114.49051248925488,129.96870140000675,426.0,42.0,565.0,0.7539823008849558,0.0743362831858407,0.17168141592920355
mp_e_form,0.0781359420224677,0.07734775778964902,0.07961722144245931,0.7459873224325215,0.13136838382351854,-1.313501968770563,1.134744802617583,16098.0,-1.3363989927680182,1.1500968732096992,72282.0,6738.0,95118.0,0.7599192581845707,0.07083832713051158,0.16924241468491769
mp_gap,0.2595604183928289,0.26327420729877005,0.2731267780117207,0.3134798035468918,0.36251398896808446,1.1185496013114187,1.5905866401480009,13668.0,1.1477577981581197,1.5864520335511574,58843.0,5652.0,78163.0,0.7528242262963295,0.07231042820771977,0.17486534549595076
mp_is_metal,0.11667149522647494,0.09933703072043117,0.12222151553908256,0.14113495483136326,0.13727268988189117,0.4894766364257146,0.4992749188062009,13668.0,0.47433110793616257,0.4959025224185435,58828.0,5667.0,78163.0,0.7526323196397272,0.07250233486432199,0.17486534549595076
phonons,49.7672003624656,53.340788570750846,60.252594524730334,,68.68741179532016,583.5532392624322,437.60603428474815,218.0,590.5729246584697,513.1158696979358,861.0,91.0,1170.0,0.735897435897436,0.07777777777777778,0.18632478632478633
steels_yield,155.19048152825772,91.74825912866835,92.47891939603366,,103.8980365384616,1392.130647720829,287.7454491335082,62.0,1428.1576,305.43564641121134,225.0,25.0,312.0,0.7211538461538461,0.08012820512820513,0.1987179487179487
